title,price,discount,extra_info_3,likes,extra_info_2,course_subject
AI 이해를 위한 파이썬 기초,가격 정보 없음,할인 없음,입문,54,(7시간 28분),"Python, 인공지능"
LLM Application In Production,가격 정보 없음,할인 없음,초급,45,(1시간 22분),"AI · ChatGPT 활용, 자연어 처리"
클라우드 서비스 AWS,가격 정보 없음,할인 없음,초급,"1,219",(3시간 53분),"데브옵스 · 인프라, 클라우드"
윤재성의 처음 시작하는 파이썬,"₩11,000",할인 없음,입문,390,(5시간 10분),프로그래밍 언어
윤재성의 처음시작하는 HTML & HTML5 Tutorials,가격 정보 없음,할인 없음,입문,231,(5시간 23분),"웹 개발, 웹 퍼블리싱"
"컴퓨터, 웹, 코딩, 프로그래밍의 시작 - Web1",가격 정보 없음,할인 없음,입문,"2,928",(4시간 35분),웹 개발
미국 빅테크 알고리즘 문제 해결 전략 Part 1 (feat. 빌게이츠),"₩60,500",할인 없음,초급,22,(15시간 9분),알고리즘 · 자료구조
iOS Clean Architecture & MVVM: RxSwift 완전 정복,"₩39,600",할인 없음,초급,22,(5시간 31분),"모바일 앱 개발, iOS"
안정적인 서비스 배포를 위한 배포 전략과 팁,가격 정보 없음,할인 없음,초급,32,(1시간 47분),"데브옵스 · 인프라, 백엔드"
클린업 JavaScript: 베이스 빌드업!,"₩41,250",25%,초급,30,(7시간 9분),"취업 · 이직, 프로그래밍 언어"
초보자를 위한 git & github 기본기,가격 정보 없음,할인 없음,입문,24,(57분),"개발 도구, Git"
부트스트랩을 활용한 반응형 웹제작[기본 개념편] 부트캠프,"₩29,700",25%,초급,20,(19시간 12분),"웹 퍼블리싱, Bootstrap"
개발자처럼 생각하기(프로그래밍 기초 지식 A to Z),"₩132,000",할인 없음,입문,18,(8시간 16분),웹 개발
"파이썬을 활용한 데이터 정리의 핵심, 자료구조 및 알고리즘","₩132,000",할인 없음,초급,11,(7시간 21분),알고리즘 · 자료구조
