title,price,discount,extra_info_3,likes,extra_info_2,course_subject
데이터 분석을 위한 파이썬 입문,가격 정보 없음,할인 없음,입문,48,(6시간 19분),"데이터 분석, Python"
[무료]기초 텍스트마이닝: 앱 리뷰 분석 with 파이썬(40분 완성),가격 정보 없음,할인 없음,초급,60,(52분),데이터 분석
데이터에 엔진을 달다! 엑셀 데이터 분석,"₩262,900",할인 없음,입문,11,(9시간 11분),"데이터 분석, 오피스"
[R로 하는] 머신러닝을 위한 통계학 기초,"₩49,500",할인 없음,초급,448,(5시간 24분),"수학, 데이터 분석"
R로 무작정 해보는 data science,"₩71,500",할인 없음,중급이상,277,(7시간 23분),"데이터 분석, 딥러닝 · 머신러닝"
R프로그래밍 중급,"₩27,500",할인 없음,중급이상,240,(2시간 48분),"데이터 분석, 프로그래밍 언어"
텍스트마이닝 실전 프로젝트 - 뉴스 데이터 분석하기,"₩33,000",할인 없음,중급이상,471,(3시간 16분),세부 주제 없음
R로 하는 웹 크롤링 - 실전편,"₩44,000",할인 없음,초급,516,(5시간 12분),데이터 분석
minimal R - 데이터 분석을 위한 최소한의 지식,가격 정보 없음,할인 없음,입문,97,(1시간 25분),데이터 분석
[ITⓔ코칭] Oracle로 배우는 실전 데이터관리,"₩110,000",할인 없음,입문,18,(6시간 49분),"데이터 분석, 데이터베이스"
"[개념은 호옹~, 실습 빡] SQL 데이터 분석, 입문!","₩14,300",할인 없음,입문,311,(1시간 13분),"데이터 분석, 데이터베이스"
[핵집] 2024 빅데이터 분석기사(필기)_과목 3~4,"₩94,600",할인 없음,초급,115,(21시간 11분),세부 주제 없음
빅데이터 분석기사 시험 실기(Python),가격 정보 없음,할인 없음,초급,392,(5시간 0분),"데이터 분석, 데이터 사이언스 자격증"
SQL 개발자 (SQLD) 자격증 따기 Part.2,"₩55,000",할인 없음,초급,287,(18시간 31분),"데이터 분석, 데이터 사이언스 자격증"
데이터 과학을 위한 파이썬 NumPy Basic,가격 정보 없음,할인 없음,초급,327,(2시간 56분),"데이터 분석, 프로그래밍 언어"
로그프레소 엔터프라이즈 - 실시간 처리 및 외부 연동,"₩33,000",할인 없음,중급이상,79,(5시간 57분),데이터 엔지니어링
쉽고 빠르게 익히는 Power BI 심화 1 (시각화와 파워 쿼리),"₩55,000",할인 없음,중급이상,282,(4시간 59분),오피스
스마트요원에게 배우는 구글 스프레드시트,"₩55,000",할인 없음,입문,506,(5시간 17분),오피스
따라하며 익히는 크롤링 마스터 with데이터공방,"₩44,000",할인 없음,입문,311,(11시간 11분),세부 주제 없음
파이썬 웹서비스API 실전 프로젝트 - 돈 버는 디지털마케팅,"₩38,500",할인 없음,초급,409,(3시간 25분),"마케팅, 웹 개발"
쉽고 빠르게 익히는 Excel 파워 피벗 & DAX,"₩55,000",할인 없음,중급이상,325,(3시간 37분),"데이터 분석, 오피스"
쉽고 빠르게 익히는 Excel 파워 쿼리,"₩55,000",할인 없음,중급이상,509,(2시간 25분),세부 주제 없음
아빠가 들려주는 [R shiny app] 만들기,가격 정보 없음,할인 없음,초급,59,(1시간 20분),"웹 개발, 데이터 분석"
로그프레소 엔터프라이즈 - 대시보드,"₩33,000",할인 없음,초급,67,(2시간 34분),"데이터 분석, 데이터 엔지니어링"
로그프레소 엔터프라이즈 - 배치 처리,"₩33,000",할인 없음,중급이상,138,(4시간 34분),데이터 엔지니어링
R 프로그램 - 시즌 1,가격 정보 없음,할인 없음,입문,183,(5시간 58분),"데이터 분석, 프로그래밍 언어"
[입문자를 위한] QGIS로 시작하는 데이터 시각화,가격 정보 없음,할인 없음,입문,95,(30분),데이터 분석
[입문자를 위한] Power BI로 시작하는 데이터 시각화,가격 정보 없음,할인 없음,입문,217,(42분),"데이터 분석, 오피스"
Excel 2016 피벗테이블을 이용한 데이터 집계와 분석,"₩44,000",할인 없음,초급,296,(2시간 9분),"데이터 분석, 오피스"
프로세스 마이닝을 활용한 고객여정분석,가격 정보 없음,할인 없음,초급,178,(1시간 19분),"데이터 분석, 마케팅"
R 프로그램 - 시즌2,가격 정보 없음,할인 없음,중급이상,95,(4시간 12분),"데이터 분석, 프로그래밍 언어"
MongoDB - Javascript로 배우는 NoSQL DB,"₩33,000",할인 없음,초급,530,(5시간 17분),"데이터베이스, 데이터 엔지니어링"
